09:00:35.449 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:33,毫秒数:964,平均价:510.489913827745,最新价与平均价距离:-10.9899138277448,成交量:671910,交易日:20170417 
09:00:35.956 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:34,毫秒数:463,平均价:510.485765463396,最新价与平均价距离:-10.9857654633961,成交量:672168,交易日:20170417 
09:00:36.452 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:34,毫秒数:946,平均价:510.484450725177,最新价与平均价距离:-10.9844507251767,成交量:672250,交易日:20170417 
09:00:36.956 DEBUG [7] 合约:i1709,最新价:499.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:35,毫秒数:470,平均价:510.482857142857,最新价与平均价距离:-10.9828571428572,成交量:672350,交易日:20170417 
09:00:37.449 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:35,毫秒数:954,平均价:510.475165046177,最新价与平均价距离:-10.4751650461773,成交量:672842,交易日:20170417 
09:00:37.950 DEBUG [7] 合约:i1709,最新价:500,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:36,毫秒数:469,平均价:510.472305676155,最新价与平均价距离:-10.4723056761551,成交量:673026,交易日:20170417 
09:00:38.908 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:36,毫秒数:905,平均价:510.463790083135,最新价与平均价距离:-9.96379008313539,成交量:673600,交易日:20170417 
09:00:39.111 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:37,毫秒数:465,平均价:510.455142144313,最新价与平均价距离:-9.9551421443129,成交量:674174,交易日:20170417 
09:00:39.464 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:37,毫秒数:968,平均价:510.452249190363,最新价与平均价距离:-9.45224919036264,成交量:674376,交易日:20170417 
09:00:40.003 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:38,毫秒数:465,平均价:510.443357650391,最新价与平均价距离:-9.94335765039142,成交量:674972,交易日:20170417 
09:00:40.461 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:38,毫秒数:960,平均价:510.434855980602,最新价与平均价距离:-9.93485598060198,成交量:675534,交易日:20170417 
09:00:40.950 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:39,毫秒数:458,平均价:510.410552131659,最新价与平均价距离:-9.41055213165879,成交量:677266,交易日:20170417 
09:00:41.464 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:39,毫秒数:942,平均价:510.406066902999,最新价与平均价距离:-9.90606690299865,成交量:677578,交易日:20170417 
09:00:41.960 DEBUG [7] 合约:i1709,最新价:500.5,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:40,毫秒数:469,平均价:510.401820381188,最新价与平均价距离:-9.90182038118843,成交量:677880,交易日:20170417 
09:00:42.450 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:40,毫秒数:962,平均价:510.399027840455,最新价与平均价距离:-9.39902784045495,成交量:678078,交易日:20170417 
09:00:42.953 DEBUG [7] 合约:i1709,最新价:501,开盘价:510,昨结价:510.5,昨收价:507.5,最高价:514,最低价:497,涨停价:551,跌停价:470,更新时间:09:00:41,毫秒数:456,平均价:510.397006915058,最新价与平均价距离:-9.39700691505828,成交量:678230,交易日:20170417 
